model_base,body_size,cylinder_size,action_type,spring_range,base_price,torque_symmetric,torque_canted,connect_flange,L1,L2,m1,m2,A,H1,H2,D,G
SF25-350SR5,SF25,350,SR,SR5,8500,"{""sst"":3960,""srt"":2013,""set"":2534,""ast_0.3"":2689,""art_0.3"":1149,""aet_0.3"":1143,""ast_0.4"":3826,""art_0.4"":2044,""aet_0.4"":2400,""ast_0.5"":5255,""art_0.5"":2689,""aet_0.5"":3709}","{""sst"":3443,""srt"":2096,""set"":3108,""ast_0.3"":3899,""art_0.3"":1315,""aet_0.3"":1218,""ast_0.4"":5677,""art_0.4"":2167,""aet_0.4"":2420,""ast_0.5"":7456,""art_0.5"":3020,""aet_0.5"":3621}","ISO 5211 F25",592,940,150,297.5,90,118,160,415,"NPT1/2"""
SF25-350SR6,SF25,350,SR,SR6,8635,"{""sst"":4955,""srt"":2466,""set"":2999,""ast_0.3"":3523,""art_0.3"":1598,""aet_0.3"":1804,""ast_0.4"":4633,""art_0.4"":2403,""aet_0.4"":2677,""ast_0.5"":6376,""art_0.5"":3288,""aet_0.5"":4678}","{""sst"":3981,""srt"":2443,""set"":3681,""ast_0.3"":5084,""art_0.3"":1821,""aet_0.3"":1860,""ast_0.4"":6862,""art_0.4"":2673,""aet_0.4"":3061,""ast_0.5"":8640,""art_0.5"":3526,""aet_0.5"":4263}","ISO 5211 F25",592,940,150,297.5,90,118,160,415,"NPT1/2"""
SF25-400SR3,SF25,400,SR,SR3,8560,"{""sst"":2996,""srt"":1516,""set"":1895,""ast_0.3"":3089,""art_0.3"":1574,""aet_0.3"":1903,""ast_0.4"":4779,""art_0.4"":2512,""aet_0.4"":3594,""ast_0.5"":6459,""art_0.5"":3520,""aet_0.5"":5275}","{""sst"":2700,""srt"":1651,""set"":2472,""ast_0.3"":4236,""art_0.3"":1606,""aet_0.3"":1776,""ast_0.4"":6499,""art_0.4"":2691,""aet_0.4"":3306,""ast_0.5"":8763,""art_0.5"":3777,""aet_0.5"":4835}","ISO 5211 F25",597,940,150,318,90,118,160,456,"NPT3/4"""
SF25-400SR4,SF25,400,SR,SR4,9045,"{""sst"":3960,""srt"":2013,""set"":2534,""ast_0.3"":2598,""art_0.3"":1095,""aet_0.3"":1053,""ast_0.4"":4112,""art_0.4"":2107,""aet_0.4"":2686,""ast_0.5"":5959,""art_0.5"":3111,""aet_0.5"":4413}","{""sst"":3443,""srt"":2096,""set"":3108,""ast_0.3"":3578,""art_0.3"":1161,""aet_0.3"":1001,""ast_0.4"":5841,""art_0.4"":2246,""aet_0.4"":2531,""ast_0.5"":8105,""art_0.5"":3332,""aet_0.5"":4060}","ISO 5211 F25",597,940,150,318,90,118,160,456,"NPT3/4"""
SF25-400SR5,SF25,400,SR,SR5,9180,"{""sst"":4955,""srt"":2466,""set"":2999,""ast_0.3"":3829,""art_0.3"":1782,""aet_0.3"":2110,""ast_0.4"":5309,""art_0.4"":2685,""aet_0.4"":3352,""ast_0.5"":7190,""art_0.5"":3798,""aet_0.5"":5471}","{""sst"":3981,""srt"":2443,""set"":3681,""ast_0.3"":5248,""art_0.3"":1899,""aet_0.3"":1971,""ast_0.4"":7512,""art_0.4"":2985,""aet_0.4"":3500,""ast_0.5"":9775,""art_0.5"":4070,""aet_0.5"":5030}","ISO 5211 F25",597,940,150,318,90,118,160,456,"NPT3/4"""
SF25-400SR6,SF25,400,SR,SR6,9995,"{""sst"":6326,""srt"":3117,""set"":3726,""ast_0.3"":4631,""art_0.3"":2124,""aet_0.3"":2451,""ast_0.4"":6243,""art_0.4"":3065,""aet_0.4"":3643,""ast_0.5"":8028,""art_0.5"":4134,""aet_0.5"":5876}","{""sst"":5137,""srt"":3166,""set"":4808,""ast_0.3"":6347,""art_0.3"":2262,""aet_0.3"":2295,""ast_0.4"":8610,""art_0.4"":3348,""aet_0.4"":3825,""ast_0.5"":10874,""art_0.5"":4433,""aet_0.5"":5355}","ISO 5211 F25",597,940,150,318,90,118,160,456,"NPT3/4"""
SF25-450SR3,SF25,450,SR,SR3,9780,"{""sst"":3960,""srt"":2013,""set"":2534,""ast_0.3"":3774,""art_0.3"":1898,""aet_0.3"":2348,""ast_0.4"":6080,""art_0.4"":3184,""aet_0.4"":4535,""ast_0.5"":8211,""art_0.5"":4463,""aet_0.5"":6665}","{""sst"":3443,""srt"":2096,""set"":3108,""ast_0.3"":5400,""art_0.3"":2034,""aet_0.3"":2232,""ast_0.4"":8271,""art_0.4"":3411,""aet_0.4"":4172,""ast_0.5"":11142,""art_0.5"":4788,""aet_0.5"":6112}","ISO 5211 F25",605,940,150,348,90,118,160,516,"NPT3/4"""
SF25-450SR4,SF25,450,SR,SR4,9915,"{""sst"":4955,""srt"":2466,""set"":2999,""ast_0.3"":3500,""art_0.3"":1584,""aet_0.3"":1781,""ast_0.4"":5412,""art_0.4"":2749,""aet_0.4"":3456,""ast_0.5"":7762,""art_0.5"":4141,""aet_0.5"":6043}","{""sst"":3981,""srt"":2443,""set"":3681,""ast_0.3"":4806,""art_0.3"":1687,""aet_0.3"":1672,""ast_0.4"":7677,""art_0.4"":3064,""aet_0.4"":3612,""ast_0.5"":10548,""art_0.5"":4441,""aet_0.5"":5552}","ISO 5211 F25",605,940,150,348,90,118,160,516,"NPT3/4"""
SF25-450SR5,SF25,450,SR,SR5,10729,"{""sst"":6326,""srt"":3117,""set"":3726,""ast_0.3"":4752,""art_0.3"":2197,""aet_0.3"":2573,""ast_0.4"":6788,""art_0.4"":3402,""aet_0.4"":4188,""ast_0.5"":9013,""art_0.5"":4754,""aet_0.5"":6834}","{""sst"":5137,""srt"":3166,""set"":4808,""ast_0.3"":6512,""art_0.3"":2342,""aet_0.3"":2407,""ast_0.4"":9383,""art_0.4"":3719,""aet_0.4"":4347,""ast_0.5"":12254,""art_0.5"":5095,""aet_0.5"":6287}","ISO 5211 F25",605,940,150,348,90,118,160,516,"NPT3/4"""
SF25-450SR6,SF25,450,SR,SR6,11819,"{""sst"":8261,""srt"":4024,""set"":4720,""ast_0.3"":5779,""art_0.3"":2641,""aet_0.3"":3025,""ast_0.4"":7897,""art_0.4"":3799,""aet_0.4"":4357,""ast_0.5"":10091,""art_0.5"":5191,""aet_0.5"":7371}","{""sst"":6587,""srt"":4069,""set"":6265,""ast_0.3"":7877,""art_0.3"":2816,""aet_0.3"":2837,""ast_0.4"":10748,""art_0.4"":4192,""aet_0.4"":4777,""ast_0.5"":13619,""art_0.5"":5569,""aet_0.5"":6717}","ISO 5211 F25",605,940,150,348,90,118,160,516,"NPT3/4"""SF30-450SR3,SF30,450,SR,SR3,13316,"{""sst"":4786,""srt"":2379,""set"":2889,""ast_0.3"":4821,""art_0.3"":2401,""aet_0.3"":2924,""ast_0.4"":7420,""art_0.4"":3975,""aet_0.4"":5829,""ast_0.5"":10017,""art_0.5"":5533,""aet_0.5"":8426}","{""sst"":4721,""srt"":2838,""set"":4118,""ast_0.3"":6242,""art_0.3"":2192,""aet_0.3"":2177,""ast_0.4"":9741,""art_0.4"":3869,""aet_0.4"":4541,""ast_0.5"":13240,""art_0.5"":5546,""aet_0.5"":6905}","ISO 5211 F30",715,1165,175,368,110,144,176,516,"NPT3/4"""
