model_base,body_size,cylinder_size,action_type,spring_range,base_price,base_price_low,base_price_high,torque_symmetric,torque_canted,connect_flange,L1,L2,m1,m2,A,H1,H2,D,G
SF10-150DA,SF10,150,DA,,1339,,"可选，不填则自动为常温×1.05","{""0.3_0"":309,""0.3_45"":185,""0.3_90"":309,""0.4_0"":412,""0.4_45"":247,""0.4_90"":412,""0.5_0"":515,""0.5_45"":309,""0.5_90"":515,""0.6_0"":618,""0.6_45"":371,""0.6_90"":618}","{""0.3_0"":417,""0.3_45"":200,""0.3_90"":282,""0.4_0"":556,""0.4_45"":267,""0.4_90"":376,""0.5_0"":695,""0.5_45"":333,""0.5_90"":470,""0.6_0"":834,""0.6_45"":400,""0.6_90"":564}","ISO 5211 F10",350,127,76,143.5,40,82,100,207,"NPT1/4"""
SF10-150SR3,SF10,150,SR,SR3,1716,1802,1802,"{""sst"":187,""srt"":91,""set"":118,""ast_0.3"":183,""art_0.3"":89,""aet_0.3"":115,""ast_0.4"":293,""art_0.4"":155,""aet_0.4"":225,""ast_0.5"":396,""art_0.5"":217,""aet_0.5"":328}","{""sst"":162,""srt"":100,""set"":152,""ast_0.3"":260,""art_0.3"":100,""aet_0.3"":113,""ast_0.4"":399,""art_0.4"":167,""aet_0.4"":207,""ast_0.5"":538,""art_0.5"":234,""aet_0.5"":301}","ISO 5211 F10",350,467,76,143.5,40,82,100,207,"NPT1/4"""

